5,18,6,14,4,12,16,13,19,15,3,17,7,1,2,8,9,11,10
19,13,12,17,5,8,2,4,15,16,1,3,7,6,18,10,14,11,9
16,15,5,6,13,7,11,9,8,12,1,10,18,17,19,3,14,2,4
1,19,4,18,3,2,5,14,16,15,9,12,13,8,10,17,11,7,6
19,14,9,6,5,15,17,3,4,16,1,11,12,8,18,13,10,2,7
10,15,2,17,11,6,8,16,13,12,1,4,3,19,14,9,18,5,7
16,5,11,19,9,8,18,1,2,7,12,3,14,13,17,10,15,6,4
16,15,14,18,5,4,8,11,13,17,10,9,3,1,12,7,19,6,2
17,15,4,14,1,8,3,18,6,11,5,16,13,19,2,7,12,10,9
16,18,9,17,7,1,12,4,3,5,2,6,11,13,19,14,15,8,10
13,19,2,12,18,1,5,11,15,17,10,6,8,4,7,14,16,3,9
14,15,8,13,18,7,1,16,9,17,19,4,2,3,6,5,12,10,11
17,2,15,19,12,5,6,16,13,14,1,18,16,8,7,3,11,4,9
16,15,17,18,14,7,6,13,2,5,1,4,9,10,11,8,19,12,3
10,6,5,8,15,17,18,12,14,2,3,19,16,7,1,4,9,11,13
16,6,15,12,11,4,13,14,9,5,8,18,17,19,2,1,7,10,3
18,15,8,19,7,4,13,12,6,3,5,10,14,9,16,2,17,1,11
16,19,7,17,12,3,10,5,6,14,8,4,9,11,15,13,18,2,1
18,15,3,17,4,5,1,14,2,9,7,13,12,16,6,8,19,11,10
